Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
72.492,26.41,,61.26,0.0,0
72.804,26.29,,64.92,0.0,0
73.129,26.27,,65.51,0.0,0
73.436,26.29,,65.07,0.0,0
73.752,26.36,,63.07,0.0,0
74.061,26.49,,59.06,0.0,0
74.37,26.29,,65.3,0.0,0
74.681,26.51,,58.67,0.0,0
75.005,26.34,,63.89,0.0,0
75.315,26.61,,55.72,0.0,0
75.63,26.82,,49.61,0.0,0
75.941,26.58,,56.84,0.0,0
76.251,26.75,,51.71,0.0,0
76.563,26.73,,52.25,0.0,0
76.871,26.56,,57.44,0.0,0
77.195,26.9,,47.2,0.0,0
77.506,26.85,,48.76,0.0,0
77.815,26.78,,50.85,0.0,0
78.126,26.94,,46.22,0.0,0
78.439,26.92,,46.75,60.0,0
78.748,26.75,,51.92,60.0,0
78.751,26.84,,49.36,60.0,0
79.06,26.68,,54.03,30.0,0
79.37,26.63,,55.61,30.0,0
79.68,26.41,,62.36,30.0,0
79.993,26.65,,55.23,30.0,0
80.305,26.61,,56.29,30.0,0
80.633,26.58,,57.37,30.0,0
80.944,26.87,,48.62,30.0,0
81.243,26.7,,53.79,0.0,0
81.568,26.6,,56.96,0.0,0
81.878,26.44,,61.64,0.0,0
82.19,26.41,,62.74,0.0,0
82.507,26.42,,62.28,0.0,0
82.815,26.44,,61.82,0.0,0
83.128,26.82,,50.57,0.0,0
83.436,26.58,,57.82,0.0,0
83.746,26.65,,55.81,0.0,0
84.06,26.66,,55.32,0.0,0
84.372,26.73,,53.31,0.0,0
84.681,26.77,,52.3,0.0,0
85.007,26.92,,47.67,0.0,0
85.336,26.75,,52.84,0.0,0
85.647,26.72,,53.9,0.0,0
85.955,26.51,,60.18,0.0,0
86.266,26.46,,61.79,0.0,0
86.577,26.42,,62.87,0.0,0
86.887,26.6,,57.76,0.0,0
